Tipo de actividad,Fecha,Favorito,Título,Distancia,Calorías,Tiempo,Frecuencia cardiaca media,Frecuencia cardiaca máxima,Cadencia de carrera media,Cadencia de carrera máxima,Velocidad media,Velocidad máxima,Ascenso total,Descenso total,Longitud media de zancada,Relación vertical media,Oscilación vertical media,Tiempo medio de contacto con el suelo,Cadencia media de pedaleo,Cadencia de pedaleo máxima,Normalized Power® (NP®),Training Stress Score®,Potencia media máxima (20 minutos),Potencia media,Potencia máxima,Dificultad,Fluidez,Brazadas totales,Swolf medio,Velocidad media de palada,Repeticiones totales,Series totales,Tiempo de inmersión,Temperatura mínima,Intervalo en superficie,Descompresión,Mejor tiempo de vuelta,Número de vueltas,Temperatura máxima,Tiempo en movimiento,Tiempo transcurrido,Altura mínima,Altura máxima
Ciclismo en sala,2022-09-16 11:29:05,false,"Ciclismo en sala","48.75","764","02:26:40","141","163","0","0","19.9","28.5","--","--","0.00","0.0","0.0","0","75","108","--","0.0","--","0","0","0.0","0.0","11027","0","0","0","--","0:00","0.0","0:00","No","02:26:40.07.5","1","0.0","02:26:14","02:36:23","--","--"
Entreno de fuerza,2022-09-15 14:18:00,false,"Fuerza","0.00","51","00:16:54","101","121","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","6","1","0:00","0.0","0:00","No","16:54.28.3","1","0.0","00:16:54","00:16:54","--","--"
Ciclismo virtual,2022-09-15 12:55:09,false,"Zwift - Tempo To Sprints in Watopia","23.53","295","00:50:14","--","--","0","0","28.1","49.6","126","--","0.00","0.0","0.0","0","84","125","117","0.0","113","102","365","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","00:10.00","31","0.0","00:50:08","00:50:14","-6","23"
Ciclismo en sala,2022-09-15 12:55:00,false,"Ciclismo en sala","20.78","293","00:50:12","141","181","0","0","24.8","34.5","--","--","0.00","0.0","0.0","0","84","190","--","0.0","--","0","0","0.0","0.0","4237","0","0","0","--","0:00","0.0","0:00","No","50:11.72.6","1","0.0","00:50:06","00:50:20","--","--"
Ciclismo en sala,2022-09-14 11:14:27,false,"Ciclismo en sala","19.87","283","00:50:20","141","168","0","0","23.7","33.8","--","--","0.00","0.0","0.0","0","84","117","--","0.0","--","0","0","0.0","0.0","4240","0","0","0","--","0:00","0.0","0:00","No","50:19.64.4","1","0.0","00:50:13","00:52:04","--","--"
Ciclismo virtual,2022-09-14 11:14:21,false,"Zwift - Tempo Accelerations on Legends and Lava in France","22.89","289","00:52:09","--","--","0","0","26.3","43.7","115","--","0.00","0.0","0.0","0","81","118","110","0.0","109","98","294","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","00:11.00","23","0.0","00:50:42","00:52:08","10","34"
Ciclismo virtual,2022-09-14 10:03:01,false,"Zwift - Group Workout: Women Only | Short | Aerobic Conditioning | ZA Road 2022 on Classique in London","16.27","237","00:40:15","--","--","0","0","24.3","47.1","64","--","0.00","0.0","0.0","0","86","102","109","0.0","113","102","175","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","00:16.09","15","0.0","00:40:11","00:40:14","9","29"
Ciclismo en sala,2022-09-14 10:02:22,false,"Ciclismo en sala","17.62","241","00:40:54","141","164","0","0","25.9","32.5","--","--","0.00","0.0","0.0","0","85","103","--","0.0","--","0","0","0.0","0.0","3502","0","0","0","--","0:00","0.0","0:00","No","40:53.83.5","1","0.0","00:40:48","00:40:54","--","--"
Ciclismo en sala,2022-09-13 12:26:52,false,"Ciclismo en sala","13.23","217","00:36:53","140","157","0","0","21.5","25.1","--","--","0.00","0.0","0.0","0","73","92","--","0.0","--","0","0","0.0","0.0","2700","0","0","0","--","0:00","0.0","0:00","No","36:52.87.4","1","0.0","00:36:49","00:36:53","--","--"
Ciclismo virtual,2022-09-13 12:12:28,false,"Zwift - Race: STAGE 2: GET ROLLINGSand and Sequoias (C) on Sand And Sequoias in Watopia","22.56","278","00:51:23","--","--","0","0","26.3","50.6","180","--","0.00","0.0","0.0","0","73","88","99","0.0","106","94","173","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","51:22.99.9","1","0.0","00:51:17","00:51:21","11","83"
Ciclismo virtual,2022-09-13 11:03:36,false,"Zwift - Group Workout: Espaol | Women Only | Baseline Ride | ZA Road 2022 on Legends and Lava in Watopia","26.95","393","01:04:43","--","--","0","0","25.0","51.6","352","--","0.00","0.0","0.0","0","73","102","122","0.0","115","103","405","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","01:19.00","2","0.0","01:04:41","01:04:42","-6","132"
Ciclismo en sala,2022-09-13 11:01:20,false,"Ciclismo en sala","28.26","429","01:20:39","142","177","0","0","21.0","39.1","--","--","0.00","0.0","0.0","0","73","102","--","0.0","--","0","0","0.0","0.0","5956","0","0","0","--","0:00","0.0","0:00","No","01:20:38.85.2","1","0.0","01:20:38","01:25:17","--","--"
Ciclismo,2022-09-11 07:26:57,false,"Medellín Ciclismo","35.61","938","02:20:51","165","188","0","0","15.2","48.3","1,118","1,115","0.00","0.0","0.0","0","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","02:20:51.47.8","1","0.0","02:20:23","04:06:37","1,735","2,506"
Caminar,2022-09-10 13:53:35,false,"Medellín Caminar","1.43","58","00:23:05","82","103","90","122","16:10","11:10","3","68","0.72","0.0","0.0","0","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","07:40.64.9","2","0.0","00:22:56","00:23:32","1,679","1,748"
